name,Q,n_points,v_chi2,v_chi2_dof,v_bic,v_A,v_rc,v_ups,n_chi2,n_chi2_dof,n_bic,n_A,n_rc,n_ups,delta_bic
UGC07866,2,7,0.2827,0.0707,6.12,43.6920,2.0000,1.4000,1.2120,0.3030,7.05,43.6920,3.6300,1.4000,5904.10
UGC08286,1,17,31.3482,2.2392,39.85,101.1600,4.3923,2.6620,75.3595,5.3828,83.86,134.6440,5.3147,1.9800,5904.10
UGC08490,1,30,28.3321,1.0493,38.54,96.1200,3.0000,2.0000,32.7360,1.2124,42.94,140.7293,4.8315,1.4434,5904.10
UGC08550,1,11,3.5453,0.4432,10.74,69.3600,2.2000,2.0000,24.3080,3.0385,31.50,101.5500,3.8974,1.2991,5904.10
UGC08699,2,41,39.8752,1.0493,51.02,161.6000,0.8100,0.4000,112.1293,2.9508,123.27,293.3040,10.6480,0.5832,5904.10
UGC08837,2,8,8.0076,1.6015,14.25,57.6000,2.0000,0.0000,43.1199,8.6240,49.36,0.0000,0.3000,1.4000,5904.10
UGC09037,2,22,21.8208,1.1485,31.09,154.8800,4.9005,0.2500,53.5400,2.8179,62.81,281.1072,17.1487,0.1500,5904.10
UGC09133,1,68,126.2903,1.9429,138.95,208.0800,2.1870,0.4500,123.8978,1.9061,136.56,461.5908,15.5897,0.4000,5904.10
UGC09992,2,5,0.0546,0.0273,4.88,12.3480,0.0000,1.4000,0.0513,0.0256,4.88,41.1600,0.8100,1.0000,5904.10
UGC10310,1,7,0.4568,0.1142,6.29,58.5600,3.0000,2.0000,1.3476,0.3369,7.19,87.8400,8.8000,2.0000,5904.10
UGC11455,1,36,82.5108,2.5003,93.26,256.0800,5.5000,0.4000,206.4343,6.2556,217.18,486.2317,36.3922,0.4224,5904.10
UGC11557,2,12,5.1962,0.5774,12.65,102.0000,2.7000,0.0000,15.2256,1.6917,22.68,134.4044,25.1074,0.4000,5904.10
UGC11820,1,10,8.4016,1.2002,15.31,101.3400,6.0500,1.9487,72.4574,10.3511,79.37,134.8835,9.7436,1.2991,5904.10
UGC11914,1,65,68.8597,1.1106,81.38,219.6000,0.3000,0.4000,333.9860,5.3869,346.51,0.0000,0.3000,0.7920,5904.10
UGC12506,2,31,7.9987,0.2857,18.30,204.0000,1.1810,0.7200,20.7234,0.7401,31.03,336.6000,18.8636,1.3860,5904.10
UGC12632,1,15,1.3139,0.1095,9.44,64.4160,2.0000,2.0000,9.2512,0.7709,17.38,106.2864,8.8578,2.3958,5904.10
UGC12732,1,16,4.9937,0.3841,13.31,129.3600,8.8000,2.4200,28.4497,2.1884,36.77,156.5256,11.7128,1.6038,5904.10
UGCA281,3,7,1.1928,0.2982,7.03,35.4000,0.5000,0.8000,6.6663,1.6666,12.50,38.9400,2.0000,1.4000,5904.10
UGCA442,1,8,5.0812,1.0162,11.32,69.3600,2.0000,1.4000,45.6017,9.1203,51.84,111.7050,7.7812,1.9212,5904.10
UGCA444,2,36,7.6460,0.2317,18.40,45.9600,1.1000,2.7618,14.3223,0.4340,25.07,55.6116,3.5077,7.5950,5904.10
